fuel_limit,avg_score,max_score,waste,bottleneck_rate,runtime
40,0.050820072131147545,0.050820072131147545,0,100.0,9.825357913970947
60,0.10131167540983607,0.10131167540983607,0,100.0,13.34128189086914
80,0.11995081967213114,0.11995081967213114,0,100.0,14.440853834152222
100,0.18026229508196723,0.18026229508196723,0,100.0,25.49692153930664
